00:00:00.000000 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 31017, seq 6, length 64
00:00:00.011667 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 31017, seq 7, length 64
00:00:00.023570 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 31017, seq 8, length 64
00:00:00.042006 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 31017, seq 9, length 64
00:00:00.052000 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 31017, seq 10, length 64
00:00:00.063135 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 31017, seq 11, length 64
00:00:00.077663 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 31017, seq 12, length 64
00:00:00.089423 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 31017, seq 13, length 64
00:00:00.100174 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 31017, seq 14, length 64
00:00:00.111864 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 31017, seq 15, length 64
00:00:00.123150 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 31017, seq 16, length 64
00:00:00.137339 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 31017, seq 17, length 64
00:00:00.147339 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 31017, seq 18, length 64
00:00:00.158902 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 31017, seq 19, length 64
00:00:00.171090 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 31017, seq 20, length 64
00:00:00.185220 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 31017, seq 21, length 64
00:00:00.195692 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 31017, seq 22, length 64
00:00:00.211636 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 31017, seq 23, length 64
00:00:00.227756 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 31017, seq 24, length 64
00:00:00.238984 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 31017, seq 25, length 64
00:00:00.250953 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 31017, seq 26, length 64
