00:00:00.000000 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 5, length 64
00:00:00.014192 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 6, length 64
00:00:00.024468 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 7, length 64
00:00:00.036222 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 8, length 64
00:00:00.048965 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 9, length 64
00:00:00.061148 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 10, length 64
00:00:00.071897 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 11, length 64
00:00:00.083788 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 12, length 64
00:00:00.095827 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 13, length 64
00:00:00.108529 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 14, length 64
00:00:00.124706 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 15, length 64
00:00:00.135993 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 16, length 64
00:00:00.148177 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 17, length 64
00:00:00.160967 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 18, length 64
00:00:00.171824 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 19, length 64
00:00:00.183846 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 20, length 64
00:00:00.197117 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 21, length 64
00:00:00.208292 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 22, length 64
00:00:00.221458 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 23, length 64
00:00:00.232218 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 24, length 64
00:00:00.244467 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 25, length 64
00:00:00.258630 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 26, length 64
00:00:00.268858 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 27, length 64
00:00:00.280107 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 10868, seq 28, length 64
